Date Updated,StateAbbr,Update Time,Source,Update Time (Et),Last Check,Checker,DC,Daily Count,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown Race,% Unk. Race,Known Hispanic,Known Non-Hispanic,Unknown Ethnicity,% Unk. Eth
20200429,TN,,,4/29/20 15:00,4/29/20 23:50,SAR,PR,195,120,57,,5,,,,5,8,4%,5,180,10,5.13%
20200429,TX,,,4/29/20 13:00,4/29/20 23:20,SAR,AM,732,122,46,59,4,,,,,231,50%,59,172,501,68.44%
20200429,UT,,,4/29/20 15:00,4/29/20 23:48,JFC,PR,,,,,,,,,,,,,,,
20200429,VA,,,4/29/20 0:00,4/29/20 23:42,JFC,PR,513,271,134,,,,,,49,59,12%,,,,
20200429,VI,,,,,,,,,,,,,,,,,,,,,
20200429,VT,,,4/29/20 10:25,4/29/20 23:35,JFC,PR,47,42,,,2,,,,3,0,0%,,46,1,2.13%
20200429,WA,,,4/29/20 2:59,4/29/20 23:29,JFC,PR,801,531,23,52,69,7,4,9,16,90,11%,52,659,90,11.24%
20200429,WI,,,4/29/20 16:00,4/29/20 23:27,JFC,PR,308,187,101,,5,4,,,3,8,3%,17,277,14,4.55%
20200429,WV,,,4/29/20 17:00,4/29/20 23:24,JFC,PR,,,,,,,,,,,,,,,
20200429,WY,,,4/29/20 17:21,4/29/20 23:00,JFC,PR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
